POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Kyle Larson	5	Chevrolet	247	2	80	73	18	0	
2	Alex Bowman	48	Chevrolet	247	11	0	38	3	0	
3	Joey Logano	22	Ford	247	1	96	54	20	0	
4	William Byron	24	Chevrolet	247	24	0	33	0	0	
5	Ross Chastain	1	Chevrolet	247	20	15	32	0	0	
6	Austin Dillon	3	Chevrolet	247	22	0	31	0	0	
7	Connor Zilisch	88	Chevrolet	247	19	0	30	0	0	
8	Carson Hocevar	77	Chevrolet	247	6	0	34	5	0	
9	Denny Hamlin	11	Toyota	247	10	0	33	5	0	
10	Austin Cindric	2	Ford	247	13	0	27	0	0	
11	Cole Custer	41	Chevrolet	247	26	0	26	0	0	
12	Brad Keselowski	6	Ford	247	23	55	34	9	0	
13	Erik Jones	43	Toyota	247	25	0	24	0	0	
14	Bubba Wallace	23	Toyota	247	7	0	24	1	0	
15	John Hunter Nemechek	42	Toyota	247	28	0	22	0	0	
16	AJ Allmendinger	16	Chevrolet	247	17	0	21	0	0	
17	Ryan Preece	60	Ford	247	14	0	24	4	0	
18	Ty Gibbs	54	Toyota	247	9	0	21	2	0	
19	Christopher Bell	20	Toyota	247	4	0	27	9	0	
20	Michael McDowell	71	Chevrolet	247	29	0	17	0	0	
21	Austin Hill	33	Chevrolet	247	27	0	0	0	0	
22	Cody Ware	51	Chevrolet	247	30	0	15	0	0	
23	Shane van Gisbergen	97	Chevrolet	247	35	0	14	0	0	
24	Todd Gilliland	34	Ford	247	34	0	13	0	0	
25	Tyler Reddick	45	Toyota	247	18	0	15	3	0	
26	Ricky Stenhouse Jr.	47	Chevrolet	247	36	0	11	0	0	
27	Chris Buescher	17	Ford	237	21	0	10	0	0	
28	Josh Berry	21	Ford	231	16	1	15	6	0	
29	Daniel Suarez	7	Chevrolet	229	15	0	8	0	0	
30	Ty Dillon	10	Chevrolet	227	32	0	7	0	0	
31	Chase Elliott	9	Chevrolet	214	8	0	12	6	0	
32	Chase Briscoe	19	Toyota	213	5	0	11	6	0	
33	Noah Gragson	4	Ford	198	31	0	4	0	0	
34	Riley Herbst	35	Toyota	196	33	0	3	0	0	
35	Ryan Blaney	12	Ford	154	3	0	16	14	0	
36	Zane Smith	38	Ford	129	12	0	1	0	0	
