POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Chase Elliott	9	Chevrolet	267	14	87	69	14	0	
2	Denny Hamlin	11	Toyota	267	4	21	43	8	0	
3	Alex Bowman	48	Chevrolet	267	9	0	35	1	0	
4	Tyler Reddick	45	Toyota	267	8	0	42	9	0	
5	Chris Buescher	17	Ford	267	3	0	36	4	0	
6	Daniel Suarez	7	Chevrolet	267	2	0	36	5	0	
7	Carson Hocevar	77	Chevrolet	267	1	40	41	11	0	
8	William Byron	24	Chevrolet	267	15	0	31	2	0	
9	Bubba Wallace	23	Toyota	267	37	0	28	0	0	
10	Ryan Blaney	12	Ford	267	31	5	27	0	0	
11	Riley Herbst	35	Toyota	267	18	1	29	3	0	
12	Erik Jones	43	Toyota	267	21	13	35	10	0	
13	Brad Keselowski	6	Ford	267	25	4	32	8	0	
14	Ryan Preece	60	Ford	267	20	0	29	6	0	
15	Austin Cindric	2	Ford	267	13	0	22	0	0	
16	Connor Zilisch	88	Chevrolet	267	12	0	21	0	0	
17	Shane van Gisbergen	97	Chevrolet	267	30	0	20	0	0	
18	Austin Dillon	3	Chevrolet	267	38	0	19	0	0	
19	Ricky Stenhouse Jr.	47	Chevrolet	267	22	0	26	8	0	
20	Kyle Busch	8	Chevrolet	267	6	0	22	5	0	
21	John Hunter Nemechek	42	Toyota	266	33	0	16	0	0	
22	Zane Smith	38	Ford	266	34	0	15	0	0	
23	Chase Briscoe	19	Toyota	266	5	4	20	6	0	
24	Ty Dillon	10	Chevrolet	266	35	0	13	0	0	
25	AJ Allmendinger	16	Chevrolet	266	26	0	16	4	0	
26	Ross Chastain	1	Chevrolet	266	16	0	11	0	0	
27	Michael McDowell	71	Chevrolet	266	19	0	10	0	0	
28	Noah Gragson	4	Ford	266	28	0	9	0	0	
29	Josh Berry	21	Ford	266	24	0	8	0	0	
30	Cody Ware	51	Chevrolet	265	29	0	7	0	0	
31	Corey Heim	67	Toyota	254	17	69	0	0	0	
32	Todd Gilliland	34	Ford	254	32	0	5	0	0	
33	Chad Finchum	66	Ford	223	36	0	0	0	0	
34	Kyle Larson	5	Chevrolet	180	11	0	3	0	0	
35	Cole Custer	41	Chevrolet	173	27	0	2	0	0	
36	Ty Gibbs	54	Toyota	110	10	1	8	7	0	
37	Joey Logano	22	Ford	95	23	0	1	0	0	
38	Christopher Bell	20	Toyota	68	7	22	1	0	0	
